month,closed_on,revenue_inr,signed_off_by
2024-01,2024-02-09,38446071.33,A. Krishnan (Finance Controller)
2024-02,2024-03-11,34887085.55,A. Krishnan (Finance Controller)
2024-03,2024-04-09,42457899.09,A. Krishnan (Finance Controller)
2024-04,2024-05-10,37958457.37,A. Krishnan (Finance Controller)
2024-05,2024-06-09,41764716.4,A. Krishnan (Finance Controller)
2024-06,2024-07-10,38987082.82,A. Krishnan (Finance Controller)
2024-07,2024-08-09,40527291.81,A. Krishnan (Finance Controller)
2024-08,2024-09-09,45252181.75,A. Krishnan (Finance Controller)
2024-09,2024-10-10,44615037.46,A. Krishnan (Finance Controller)
2024-10,2024-11-09,56359195.92,A. Krishnan (Finance Controller)
2024-11,2024-12-10,51583838.47,A. Krishnan (Finance Controller)
2024-12,2025-01-09,50745209.0,A. Krishnan (Finance Controller)
